sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau
1,1,1,0,2,2,2,4,58.83287671232877,3.106849315068493,1,0,0,0,2.0,False
2,0,1,0,4,2,1,4,52.35616438356164,8.35890410958904,1,0,1,1,1.0,False
1,1,1,0,2,4,2,4,46.224657534246575,2.106849315068493,1,1,1,1,2.0,False
2,1,0,0,2,3,2,4,29.23013698630137,3.021917808219178,1,0,0,0,2.0,False
2,0,1,0,2,2,2,4,27.48219178082192,4.024657534246575,1,0,1,0,2.0,False
2,0,1,1,2,2,1,4,30.04931506849315,4.438356164383562,1,0,0,0,2.0,False
1,1,1,3,2,2,2,4,34.76438356164383,3.186301369863014,1,0,0,0,5.0,False
1,0,1,1,4,4,2,4,32.44383561643836,5.523287671232877,1,0,0,0,3.0,False
1,1,1,0,4,2,2,4,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False
2,1,1,2,2,2,2,4,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False
2,0,1,1,3,2,3,4,44.41643835616439,19.44931506849315,1,0,0,0,3.0,False
2,0,1,2,4,4,2,4,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False
2,0,1,0,5,2,5,4,55.3041095890411,-1000.6657534246576,1,0,0,0,1.0,False
2,0,1,0,4,4,4,2,46.61917808219178,3.690410958904109,1,0,0,0,1.0,False
2,0,1,0,4,2,1,2,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False
2,0,0,0,4,4,2,4,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False
1,0,1,1,2,2,2,4,28.27671232876712,7.693150684931507,1,0,0,0,3.0,False
2,1,1,0,2,2,2,4,48.72602739726028,4.69041095890411,1,0,0,0,2.0,False
1,0,1,0,2,2,2,4,43.90958904109589,2.4356164383561643,1,0,1,0,2.0,False
2,0,1,0,5,2,2,4,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False
2,1,1,0,2,2,4,4,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False
1,0,1,0,2,2,2,4,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False
2,0,1,2,3,4,2,4,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False
2,1,1,0,4,2,2,4,54.41369863013698,29.70684931506849,1,0,0,1,2.0,False
2,0,0,0,5,3,3,2,51.18356164383562,-1000.6657534246576,1,0,0,0,2.0,False
2,0,1,2,2,4,2,4,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False
1,0,1,0,2,2,1,4,24.27671232876712,2.4356164383561643,1,1,0,0,1.0,False
1,1,1,0,2,2,3,4,28.63013698630137,5.69041095890411,1,0,0,0,2.0,False
2,1,1,0,4,3,3,3,28.12054794520548,8.693150684931506,1,0,1,1,2.0,False
2,1,1,1,3,4,2,4,48.56438356164384,1.9397260273972603,1,0,1,1,3.0,False
1,0,1,1,2,2,2,1,38.69041095890411,3.5232876712328767,1,0,0,0,3.0,False
2,0,1,0,2,4,3,4,27.572602739726022,8.693150684931506,1,0,0,1,2.0,False
1,0,1,0,2,2,2,4,56.24931506849315,15.6986301369863,1,0,0,0,2.0,False
1,1,0,2,4,4,2,4,40.35616438356164,8.189041095890412,1,0,0,0,4.0,False
2,0,1,1,4,2,2,4,37.47671232876712,12.03013698630137,1,0,0,1,3.0,False
2,0,1,0,2,4,4,4,36.35890410958904,1.5205479452054795,1,0,0,0,1.0,False
1,1,1,2,2,2,2,1,35.23013698630137,11.112328767123287,1,0,1,0,4.0,False
2,0,0,0,4,4,4,1,43.11506849315069,1.1835616438356165,1,0,0,0,1.0,False
1,0,1,0,5,2,5,4,59.37808219178082,-1000.6657534246576,1,0,0,0,1.0,False
2,0,0,0,2,2,3,4,26.457534246575342,4.273972602739726,1,1,1,0,2.0,False
1,1,0,0,2,4,2,4,43.35616438356164,10.191780821917808,1,1,1,0,2.0,False
2,0,0,0,2,2,2,4,53.63013698630137,7.947945205479452,1,0,0,0,2.0,False
2,0,0,0,2,2,2,4,35.38356164383562,8.695890410958905,1,0,1,0,2.0,False
2,1,0,0,5,2,2,4,62.67671232876712,-1000.6657534246576,1,0,1,1,2.0,False
1,1,0,0,2,3,2,6,50.2054794520548,3.441095890410959,1,0,0,0,2.0,False
2,0,0,0,2,4,2,4,48.14520547945205,15.868493150684932,1,1,1,0,2.0,False
2,0,0,0,3,2,2,4,57.40547945205479,23.791780821917808,1,1,1,0,2.0,False
2,0,0,0,2,4,2,4,33.78904109589041,2.356164383561644,1,1,1,0,2.0,False
2,1,0,0,2,2,2,4,40.18356164383562,2.186301369863014,1,1,0,0,2.0,False
1,1,0,0,2,3,2,1,29.07123287671233,2.6904109589041094,1,0,1,0,2.0,False
2,0,0,0,2,4,4,3,52.27945205479452,14.364383561643836,1,0,1,0,1.0,False
2,0,0,0,4,2,2,4,38.90684931506849,5.86027397260274,1,0,1,0,2.0,False
1,1,0,1,2,2,2,4,27.27945205479452,2.5232876712328767,1,1,0,0,3.0,False
